Product,SKU,Category,Main Image,Gallery 2,Gallery 3,Image Type,Status
"Hyaluronic Acid Serum","SGT-SK-003","Skin Care","/products/skin-care/hyaluronic-acid-serum.svg","/products/skin-care/hyaluronic-acid-serum-2.svg","/products/skin-care/hyaluronic-acid-serum-3.svg","Illustration","OK"
"Professional Face Cleanser","SGT-SK-001","Skin Care","/products/skin-care/professional-face-cleanser.svg","/products/skin-care/professional-face-cleanser-2.svg","/products/skin-care/professional-face-cleanser-3.svg","Illustration","OK"
"Professional Moisturizer","SGT-SK-005","Skin Care","/products/skin-care/professional-moisturizer.svg","/products/skin-care/professional-moisturizer-2.svg","/products/skin-care/professional-moisturizer-3.svg","Illustration","OK"
"Rose Water Toner","SGT-SK-007","Skin Care","/products/skin-care/rose-water-toner.svg","/products/skin-care/rose-water-toner-2.svg","/products/skin-care/rose-water-toner-3.svg","Illustration","OK"
"Vitamin C Face Serum","SGT-SK-002","Skin Care","/products/skin-care/vitamin-c-face-serum.svg","/products/skin-care/vitamin-c-face-serum-2.svg","/products/skin-care/vitamin-c-face-serum-3.svg","Illustration","OK"
"Aloe Vera Soft Wax","SGT-WX-006","Waxing","/products/waxing/aloe-vera-soft-wax.png","/products/waxing/aloe-vera-soft-wax-2.png","/products/waxing/aloe-vera-soft-wax-3.png","Photograph","OK"
"Chocolate Wax","SGT-WX-004","Waxing","/products/waxing/chocolate-wax.png","/products/waxing/chocolate-wax-2.png","/products/waxing/chocolate-wax-3.png","Photograph","OK"
"Disposable Wax Spatulas","SGT-WX-008","Waxing","/products/waxing/disposable-wax-spatulas.png","/products/waxing/disposable-wax-spatulas-2.png","/products/waxing/disposable-wax-spatulas-3.png","Photograph","OK"
"Hard Wax Beans","SGT-WX-003","Waxing","/products/waxing/hard-wax-beans.png","/products/waxing/hard-wax-beans-2.png","/products/waxing/hard-wax-beans-3.png","Photograph","OK"
"Non-Woven Wax Strips","SGT-WX-007","Waxing","/products/waxing/non-woven-wax-strips.png","/products/waxing/non-woven-wax-strips-2.png","/products/waxing/non-woven-wax-strips-3.png","Photograph","OK"
"Pre & Post Wax Lotion Set","SGT-WX-009","Waxing","/products/waxing/pre-post-wax-lotion-set.png","/products/waxing/pre-post-wax-lotion-set-2.png","/products/waxing/pre-post-wax-lotion-set-3.png","Photograph","OK"
"Professional Wax Heater","SGT-WX-001","Waxing","/products/waxing/professional-wax-heater.png","/products/waxing/professional-wax-heater-2.png","/products/waxing/professional-wax-heater-3.png","Photograph","OK"
"Rica Style Liposoluble Wax","SGT-WX-005","Waxing","/products/waxing/rica-style-liposoluble-wax.png","/products/waxing/rica-style-liposoluble-wax-2.png","/products/waxing/rica-style-liposoluble-wax-3.png","Photograph","OK"
"Roll-On Wax Heater","SGT-WX-002","Waxing","/products/waxing/roll-on-wax-heater.png","/products/waxing/roll-on-wax-heater-2.png","/products/waxing/roll-on-wax-heater-3.png","Photograph","OK"
